term_id,semester,year
2061,Fall,2006
2064,Spring,2006
2067,Summer,2006
2071,Fall,2007
2074,Spring,2007
2077,Summer,2007
2081,Fall,2008
2084,Spring,2008
2087,Summer,2008
2091,Fall,2009
2094,Spring,2009
2097,Summer,2009
2101,Fall,2010
2104,Spring,2010
2107,Summer,2010
2111,Fall,2011
2114,Spring,2011
2117,Summer,2011
2121,Fall,2012
2124,Spring,2012
2127,Summer,2012
2131,Fall,2013
2134,Spring,2013
2137,Summer,2013
2141,Fall,2014
2144,Spring,2014
2147,Summer,2014
2151,Fall,2015
2154,Spring,2015
2157,Summer,2015
2161,Fall,2016
2164,Spring,2016
2167,Summer,2016
2171,Fall,2017
2174,Spring,2017
2177,Summer,2017
2181,Fall,2018
2184,Spring,2018
2187,Summer,2018
2191,Fall,2019
2194,Spring,2019
2197,Summer,2019
2201,Fall,2020
2204,Spring,2020
2207,Summer,2020
